commodity_name,country,market,price_type,date,price_usd,unit,uuid
Onions (imported),Tonga,National Average,RETAIL,2010-01-01,1.35,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-02-01,1.52,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-03-01,1.39,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-04-01,1.57,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-05-01,1.47,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-06-01,1.36,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-07-01,1.37,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-08-01,1.45,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-09-01,1.38,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-10-01,1.58,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-11-01,1.62,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2010-12-01,1.91,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-01-01,1.87,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-02-01,1.88,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-03-01,1.69,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-04-01,1.74,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-05-01,1.68,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-06-01,1.64,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-07-01,1.57,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-08-01,1.62,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-09-01,1.51,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-10-01,1.62,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-11-01,1.61,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2011-12-01,1.6,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-01-01,1.69,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-02-01,1.64,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-03-01,1.74,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-04-01,1.64,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-05-01,1.61,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-06-01,1.81,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-07-01,1.57,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-08-01,1.67,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-09-01,1.67,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-10-01,1.6,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-11-01,1.88,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2012-12-01,1.92,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-01-01,1.85,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-02-01,1.85,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-03-01,1.65,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-04-01,1.7,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-05-01,1.71,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-06-01,1.58,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-07-01,1.57,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-08-01,1.5,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-09-01,1.52,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-10-01,1.54,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-11-01,1.88,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2013-12-01,2.02,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-01-01,1.98,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-02-01,1.6,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-03-01,1.6,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-04-01,1.74,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-05-01,1.88,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-06-01,1.88,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-07-01,1.89,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-08-01,1.86,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-09-01,1.82,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-10-01,1.77,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-11-01,1.76,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2014-12-01,1.61,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-01-01,1.72,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-02-01,1.75,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-03-01,1.74,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-04-01,1.75,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-05-01,1.74,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-06-01,1.61,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-07-01,1.57,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-08-01,1.55,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-09-01,1.52,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-10-01,1.4,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-11-01,1.39,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2015-12-01,1.4,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-01-01,1.38,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-02-01,1.37,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-03-01,1.46,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-04-01,1.47,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-05-01,1.46,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-06-01,1.46,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-07-01,1.51,Kg,2794b7b3-d736-477a-bf98-955131e719c4
Onions (imported),Tonga,National Average,RETAIL,2016-08-01,1.46,Kg,2794b7b3-d736-477a-bf98-955131e719c4
